summary,theme,countries,lemmatized_tokens
 russia has been at loggerheads with foreign technology companies over content censorship data and local representation. The dispute intensified after russia invaded ukraine in february.,Technology and Digital Trends,['Ukraine'],"['russian', 'court', 'fined', 'alphabet', 'google', 'googlo', 'wednesday', 'billion', 'rouble', 'million', 'failing', 'delete', 'socalled', 'fake', 'information', 'conflict', 'ukraine', 'topic', 'tass', 'news', 'agency', 'reported', 'russia', 'loggerhead', 'foreign', 'technology', 'company', 'content', 'censorship', 'data', 'local', 'representation', 'simmering', 'dispute', 'intensified', 'russia', 'invaded', 'ukraine', 'february', 'ria', 'news', 'agency', 'said', 'fine', 'also', 'imposed', 'due', 'google', 'failing', 'remove', 'extremist', 'content', 'distribution', 'russia', 'call', 'lgbt', 'propaganda', 'google', 'immediately', 'respond', 'request', 'comment']"
 taylor swift took a hour mile flight this weekend from tokyo japan to las vegas nevada to watch kansas city chiefs tight end travis kelce win the super bowl. The pop star allegedly produced tons of co emissions in three months while commuting.,Environment and Climate Topics,['Japan'],"['taylor', 'swift', 'took', 'hour', 'mile', 'flight', 'weekend', 'tokyo', 'japan', 'la', 'vega', 'nevada', 'watch', 'kansa', 'city', 'chief', 'tight', 'end', 'travis', 'kelce', 'win', 'super', 'bowl', 'san', 'francisco', 'er', 'latest', 'private', 'jet', 'flight', 'travel', 'habit', 'gained', 'criticism', 'due', 'jet', 'inevitable', 'release', 'carbon', 'dioxide', 'emission', 'atmosphere', 'pop', 'star', 'allegedly', 'produced', 'ton', 'co', 'emission', 'three', 'month', 'commuting', 'visit', 'kelce', 'newsweek', 'reported', 'taylor', 'swift', 'travel', 'habit', 'criticised', 'swift', 'carbon', 'emission', 'extreme', 'polluting', 'atmosphere', 'leah', 'thomas', 'author', 'intersectional', 'environmentalist', 'study', 'intersection', 'environmentalism', 'privilege', 'told', 'bbc', 'travel', 'carbon', 'emission', 'one', 'leading', 'cause', 'climate', 'crisis', 'carbon', 'atmosphere', 'warms', 'planet', 'contributes', 'extreme', 'weather', 'event']"
 britains prince william has criticised some of the worlds richest men for using their wealth to fund a new space race and space tourism. William voiced his disapproval a day after the former star trek actor william shatner became the oldest man to fly to space.,environment and climate topics,[],"['britain', 'prince', 'william', 'criticised', 'world', 'richest', 'men', 'using', 'wealth', 'fund', 'new', 'space', 'race', 'space', 'tourism', 'rather', 'trying', 'fix', 'problem', 'planet', 'earth', 'instead', 'comment', 'bbc', 'aired', 'thursday', 'oct', 'william', 'voiced', 'disapproval', 'day', 'former', 'star', 'trek', 'actor', 'william', 'shatner', 'became', 'oldest', 'man', 'fly', 'space', 'rocket', 'built', 'amazon', 'founder', 'jeff', 'bezos', 'need', 'world', 'greatest', 'brain', 'mind', 'fixed', 'trying', 'repair', 'planet', 'trying', 'find', 'next', 'place', 'go', 'live', 'said', 'william', 'secondinline', 'british', 'throne']"
The party has flirted with extremism and has been accused racism. ventura himself has been tried and convicted for making offensive racist remarks in reference to a black family.,Social Issues and Activism,"['Guinea', 'Portugal']","['party', 'flirted', 'extremism', 'accused', 'racism', 'ventura', 'tried', 'convicted', 'making', 'offensive', 'racist', 'remark', 'reference', 'black', 'family', 'one', 'portugal', 'poorest', 'neighborhood', 'conviction', 'supreme', 'court', 'upheld', 'party', 'denied', 'accusation', 'racism', 'member', 'many', 'supporter', 'openly', 'flaunt', 'hateful', 'narrative', 'social', 'medium', 'ventura', 'also', 'wrote', 'social', 'medium', 'fellow', 'mp', 'hold', 'dual', 'portugueseguinean', 'citizenship', 'return', 'country', 'likeminded', 'movement', 'chega', 'seems', 'brushed', 'criticism', 'aside', 'continued', 'grow']"
Swedish climate activist greta thunberg was charged with disobeying a police order on friday sep less than two months after she was convicted and fined for the same offence.,Social Issues and Activism ,['Oman'],"['swedish', 'climate', 'activist', 'greta', 'thunberg', 'charged', 'disobeying', 'police', 'order', 'friday', 'sep', 'less', 'two', 'month', 'convicted', 'fined', 'offence', 'thunberg', 'fined', 'swedish', 'crown', 'u', 'swedish', 'court', 'jul', 'failing', 'leave', 'protest', 'ordered', 'police', 'straight', 'verdict', 'thunberg', 'activist', 'environmental', 'group', 'reclaim', 'future', 'blocked', 'road', 'oil', 'truck', 'malmo', 'harbour', 'forcibly', 'removed', 'police', 'demonstration', 'permit', 'led', 'blocking', 'car', 'traffic', 'woman', 'refused', 'obey', 'police', 'command', 'leave', 'scene', 'prosecutor', 'said', 'statement']"
A dentist in anchorage alaska has been convicted on dozens of charges after he was filmed extracting a patients tooth as he stood on a hoverboard. A lawsuit filed by the state in charged lookhart with unlawful dental acts saying his patient care did not meet professional standards lookhart the lawsuit said performed a dental extraction procedure on a sedated patient while riding a hover board.,Healthcare and Medicine ,[],"['dentist', 'anchorage', 'alaska', 'convicted', 'dozen', 'charge', 'filmed', 'extracting', 'patient', 'tooth', 'stood', 'hoverboard', 'according', 'alaska', 'department', 'law', 'seth', 'lookhart', 'convicted', 'felony', 'misdemeanor', 'count', 'anchorage', 'superior', 'court', 'friday', 'judge', 'michael', 'wolverton', 'called', 'evidence', 'presented', 'state', 'fiveweek', 'bench', 'trial', 'overwhelming', 'department', 'law', 'said', 'news', 'release', 'lawsuit', 'filed', 'state', 'charged', 'lookhart', 'unlawful', 'dental', 'act', 'saying', 'patient', 'care', 'meet', 'professional', 'standard', 'lookhart', 'lawsuit', 'said', 'performed', 'dental', 'extraction', 'procedure', 'sedated', 'patient', 'riding', 'hoverboard', 'filmed', 'procedure', 'sent', 'several', 'people']"
 burger lobster singapore was fined by the courts on april for food safety lapses. Five people who ate at the burger lobster outlet in jewel changi airport were hospitalised.,Healthcare and Medicine ,['Singapore'],"['burger', 'lobster', 'singapore', 'fined', 'court', 'april', 'food', 'safety', 'lapse', 'singapore', 'food', 'agency', 'sfa', 'said', 'statement', 'may', 'sfa', 'received', 'report', 'gastroenteritis', 'involving', 'people', 'ate', 'burger', 'lobster', 'outlet', 'jewel', 'changi', 'airport', 'may', 'five', 'hospitalised', 'sfa', 'ministry', 'health', 'found', 'multiple', 'lapse', 'included', 'poor', 'housekeeping', 'cracked', 'kitchen', 'floor', 'tile', 'using', 'dirty', 'oven', 'toaster', 'failure', 'employ', 'food', 'hygiene', 'officer', 'premise', 'interest', 'public', 'health', 'sfa', 'suspended', 'food', 'business', 'operation', 'may', 'july', 'directed', 'burger', 'lobster', 'singapore', 'take', 'necessary', 'measure', 'improve', 'food', 'safety', 'practice', 'cleanliness', 'premise']"
A halfdozen scholarly groups including the nations two largest associations of professional historians have criticized the museum of the american revolution in philadelphia for renting space to moms for liberty.,Community and Cultural Events,['Mali'],"['halfdozen', 'scholarly', 'group', 'including', 'nation', 'two', 'largest', 'association', 'professional', 'historian', 'criticized', 'museum', 'american', 'revolution', 'philadelphia', 'renting', 'space', 'mom', 'liberty', 'calling', 'dangerous', 'normalization', 'organization', 'support', 'book', 'ban', 'restriction', 'teaching', 'race', 'gender', 'letter', 'museum', 'monday', 'american', 'historical', 'association', 'called', 'museum', 'find', 'legal', 'way', 'cancel', 'rental', 'mom', 'liberty', 'organization', 'vigorously', 'advocated', 'censorship', 'harassment', 'history', 'teacher', 'banning', 'history', 'book', 'library', 'classroom', 'legislation', 'render', 'impossible', 'historian', 'teach', 'professional', 'integrity', 'without', 'risking', 'job', 'loss', 'penalty', 'letter', 'said']"
The national arts council nac supported the renaming of the theatre company. multilingual theatre company the theatre practices artistic director kuo jian hong had said then that no one theatre company can truly say it is singapore theatre company a letter to the st forum dated feb said it was regrettable.,Community and Cultural Events,['Singapore'],"['multilingual', 'theatre', 'company', 'theatre', 'practice', 'artistic', 'director', 'kuo', 'jian', 'hong', 'said', 'one', 'theatre', 'company', 'truly', 'say', 'singapore', 'theatre', 'company', 'letter', 'st', 'forum', 'dated', 'feb', 'said', 'regrettable', 'national', 'art', 'council', 'nac', 'supported', 'renaming', 'theatre', 'company', 'expressed', 'hope', 'nac', 'stc', 'would', 'reconsider', 'name', 'change', 'rama', 'chandran', 'founder', 'director', 'childrens', 'theatre', 'company', 'act', 'theatrics', 'taken', 'facebook', 'criticise', 'name', 'change', 'applauded', 'stcs', 'feb', 'announcement', 'social', 'medium', 'site', 'citing', 'diversity', 'group', 'across', 'affiliation', 'language', 'art', 'form', 'spoke', 'told', 'st', 'episode', 'important', 'theatre', 'community', 'singapore', 'find', 'voice', 'belief', 'voice', 'heard']"
The united states on friday feb issued sweeping sanctions to mark the second anniversary of russias invasion of ukraine targeting over people and entities. The measures targeted the mir payment system russian financial institutions and its militaryindustrial base.,International Relations and Trade ,['Ukraine'],"['united', 'state', 'friday', 'feb', 'issued', 'sweeping', 'sanction', 'mark', 'second', 'anniversary', 'russia', 'invasion', 'ukraine', 'targeting', 'people', 'entity', 'washington', 'seek', 'increase', 'pressure', 'moscow', 'measure', 'targeted', 'mir', 'payment', 'system', 'russian', 'financial', 'institution', 'militaryindustrial', 'base', 'sanction', 'evasion', 'future', 'energy', 'production', 'area', 'also', 'included', 'official', 'involved', 'death', 'russian', 'opposition', 'leader', 'alexei', 'navalny', 'treasury', 'state', 'department', 'said', 'statement', 'action', 'seek', 'hold', 'russia', 'account', 'war', 'death', 'navalny', 'u', 'president', 'joe', 'biden', 'said', 'statement', 'washington', 'look', 'continue', 'support', 'ukraine', 'even', 'face', 'acute', 'shortage', 'ammunition', 'u', 'military', 'aid', 'delayed', 'month', 'congress']"
 european union countries on wednesday feb agreed on a new package of sanctions against russia to target individuals and businesses suspected of assisting moscow in its war against ukraine. Decision coincides with the second anniversary of russias fullscale invasion which began on feb and comes days after the death of russian opposition leader alexei navalny.,International Relations and Trade ,"['Belgium', 'Ukraine']","['european', 'union', 'country', 'wednesday', 'feb', 'agreed', 'new', 'package', 'sanction', 'russia', 'target', 'individual', 'business', 'suspected', 'assisting', 'moscow', 'war', 'ukraine', 'including', 'chinese', 'company', 'decision', 'coincides', 'second', 'anniversary', 'russia', 'fullscale', 'invasion', 'began', 'feb', 'come', 'day', 'death', 'russian', 'opposition', 'leader', 'alexei', 'navalny', 'belgium', 'currently', 'hold', 'rotating', 'presidency', 'nation', 'bloc', 'said', 'package', 'one', 'broadest', 'approved', 'eu', 'according', 'several', 'diplomat', 'eu', 'ambassador', 'member', 'country', 'agreed', 'impose', 'sanction', 'company', 'individual', 'diplomat', 'spoke', 'condition', 'anonymity', 'werent', 'authorised', 'disclose', 'detail', 'sanction', 'yet', 'formally', 'adopted']"
The department of education said it was the largest fine ever imposed for violating the clery act. liberty university also agreed to spend an additional million to improve oncampus safety over the next two years.,Education and Learning ,['Oman'],"['department', 'education', 'imposed', 'record', 'million', 'fine', 'liberty', 'university', 'christian', 'college', 'located', 'virginia', 'violation', 'campus', 'safety', 'law', 'official', 'said', 'tuesday', 'department', 'education', 'said', 'largest', 'fine', 'ever', 'imposed', 'violating', 'clery', 'act', 'requires', 'college', 'maintain', 'disclose', 'campus', 'crime', 'statistic', 'security', 'information', 'liberty', 'university', 'also', 'agreed', 'spend', 'additional', 'million', 'improve', 'oncampus', 'safety', 'next', 'two', 'year', 'department', 'education', 'initiated', 'review', 'receiving', 'complaint', 'alleged', 'college', 'committed', 'violation', 'clery', 'act', 'review', 'also', 'followed', 'lawsuit', 'woman', 'claimed', 'school', 'created', 'environment', 'increased', 'likelihood', 'sexual', 'assault', 'rape', 'case', 'settled']"
When song uiyoungs first arrived in singapore as a freshfaced teenager a little over seven years ago the sum of song's english vocabulary totalled just two words. He only knew yes or no said the south korean footballer but the yearold yeouido high school student was nonetheless determined to at least do his talking.,Education and Learning,['Singapore'],"['first', 'arrived', 'singapore', 'freshfaced', 'teenager', 'little', 'seven', 'year', 'ago', 'sum', 'song', 'uiyoungs', 'english', 'vocabulary', 'totalled', 'two', 'word', 'couldnt', 'speak', 'english', 'knew', 'yes', 'said', 'south', 'korean', 'footballer', 'yearold', 'yeouido', 'high', 'school', 'student', 'nonetheless', 'determined', 'least', 'talking', 'pitch', 'coach', 'korea', 'knew', 'home', 'united', 'coach', 'lee', 'lim', 'saeng', 'recommended', 'coach', 'lee', 'came', 'watch', 'game', 'liked', 'said', 'song', 'talked', 'asked', 'play', 'reserve', 'prime', 'league', 'first', 'thought', 'could', 'adjust', 'singapore', 'maybe', 'could', 'step', 'chance', 'play', 'sleague', 'singapore', 'premier', 'league']"
The health sciences authority hsa said the agency issued the warning on nov after a man in his s who had bought euzema confidence revival cream online and used it for a year suffered from purpura.,Consumer Topics  ,['Malaysia'],"['eczema', 'cream', 'touted', 'natural', 'steroidfree', 'contains', 'excessive', 'level', 'arsenic', 'potent', 'steroid', 'health', 'science', 'authority', 'hsa', 'said', 'agency', 'issued', 'warning', 'nov', 'man', 'bought', 'euzema', 'confidence', 'revival', 'cream', 'online', 'used', 'year', 'suffered', 'purpura', 'purplish', 'red', 'spot', 'due', 'small', 'bleeds', 'skin', 'man', 'doctor', 'suspected', 'skin', 'reaction', 'caused', 'mineral', 'containing', 'arsenic', 'reported', 'case', 'hsa', 'malaysiabased', 'retail', 'website', 'euzemacom', 'cream', 'said', 'able', 'beat', 'eczema', 'good', 'powerful', 'natural', 'formula', 'steroidfree', 'contains', 'allnatural', 'herb', 'side', 'effect', 'also', 'sold', 'ecommerce', 'platform', 'carousell']"
Customer ashley beauchamp shared screenshots of the interactions on twitterx which have now been viewed more than one million times. When asked it happily produced a poem about how terrible they are as a company.,Consumer Topics,[],"['another', 'interaction', 'customer', 'asked', 'dpds', 'chatbot', 'write', 'haiku', 'useless', 'dpd', 'responded', 'poem', 'came', 'close', 'quite', 'matching', 'format', 'three', 'line', 'featuring', 'five', 'seven', 'five', 'syllable', 'customer', 'ashley', 'beauchamp', 'shared', 'screenshots', 'interaction', 'twitterx', 'viewed', 'one', 'million', 'time', 'parcel', 'delivery', 'firm', 'dpd', 'replaced', 'customer', 'service', 'chat', 'ai', 'robot', 'thing', 'mr', 'beauchamp', 'wrote', 'utterly', 'useless', 'answering', 'query', 'asked', 'happily', 'produced', 'poem', 'terrible', 'company', 'also', 'swore']"
 coreweave has seen a boost from the generative ai boom thanks to its purposebuilt cloud infrastructure at scale. The company has unique access to the most advanced n Nvidia chips that are in short supply giving it an edge in competition with traditional cloud providers.,Infrastructure and Development,[],"['nvidiabacked', 'coreweave', 'seen', 'boost', 'generative', 'ai', 'boom', 'thanks', 'purposebuilt', 'cloud', 'infrastructure', 'scale', 'partnership', 'ai', 'startup', 'cloud', 'provider', 'also', 'competes', 'build', 'cluster', 'power', 'ai', 'workload', 'company', 'unique', 'access', 'advanced', 'nvidia', 'chip', 'short', 'supply', 'giving', 'edge', 'competition', 'traditional', 'cloud', 'provider', 'like', 'microsoft', 'amazon', 'google', 'facing', 'supply', 'restraint', 'working', 'developing', 'chip', 'new', 'financing', 'used', 'acquire', 'graphic', 'processing', 'unit', 'invest', 'data', 'center', 'hiring', 'company', 'said', 'announced', 'billion', 'data', 'center', 'texas', 'last', 'week', 'aim', 'expand', 'u', 'year', 'end']"
A crane at a pub worksite in sengkang toppled and crushed a van. The accident happened at the junction of punggol road and compassvale street.,Infrastructure and Development,['Singapore'],"['singapore', 'van', 'driver', 'taken', 'hospital', 'crane', 'pub', 'worksite', 'sengkang', 'toppled', 'crushed', 'vehicle', 'tuesday', 'apr', 'accident', 'happened', 'junction', 'punggol', 'road', 'compassvale', 'street', 'pm', 'according', 'police', 'crane', 'loaded', 'onto', 'trailer', 'truck', 'toppled', 'onto', 'stationary', 'van', 'beside', 'yearold', 'van', 'driver', 'taken', 'conscious', 'sengkang', 'general', 'hospital', 'crane', 'operator', 'arrested', 'police', 'said', 'adding', 'investigation', 'ongoing', 'national', 'water', 'agency', 'pub', 'said', 'new', 'public', 'sewer', 'construction', 'worksite', 'cna', 'reader', 'said', 'road', 'punggol', 'road', 'compassvale', 'street', 'blocked', 'pm']"
Venezuela used to produce more than million barrels of oil daily two decades ago. corruption and a drop in oil prices destroyed the sector and the countrys economy. The united states seeks other sources of fuel amid a global energy crunch.,Energy and Resources,['Ukraine'],"['key', 'player', 'reentered', 'world', 'energy', 'market', 'united', 'state', 'seek', 'source', 'fuel', 'amid', 'global', 'energy', 'crunch', 'venezuela', 'used', 'produce', 'million', 'barrel', 'oil', 'daily', 'two', 'decade', 'ago', 'corruption', 'drop', 'oil', 'price', 'destroyed', 'sector', 'country', 'economy', 'former', 'u', 'president', 'donald', 'trump', 'imposed', 'sanction', 'venezuelan', 'president', 'nicolas', 'maduro', 'russia', 'invasion', 'ukraine', 'since', 'shifted', 'political', 'priority', 'u', 'pushed', 'reconsider', 'tie', 'oil', 'producer', 'like', 'venezuela', 'saudi', 'arabia', 'mitigate', 'dependence', 'russian', 'energy']"
 huawei has repeatedly said it does not make cars on its own but only helps other automakers make better vehicles. It has an existing partnership with changan as well as other companies including seres group.,Energy and Resources,['China'],"['huawei', 'repeatedly', 'said', 'make', 'car', 'help', 'automaker', 'make', 'better', 'vehicle', 'existing', 'partnership', 'changan', 'well', 'company', 'including', 'seres', 'group', 'huawei', 'seres', 'jointly', 'produce', 'aito', 'branded', 'car', 'including', 'model', 'huawei', 'also', 'built', 'sedan', 'chinese', 'automaker', 'chery', 'new', 'marquee', 'luxeed', 'intends', 'position', 'competitor', 'tesla', 'model', 'huawei', 'said', 'october', 'received', 'order', 'revamped', 'model', 'first', 'day', 'sale', 'would', 'put', 'aito', 'among', 'china', 'five', 'topselling', 'new', 'energy', 'vehicle', 'manufacturer', 'based', 'august', 'data']"
