summary,theme,countries,lemmatized_tokens
Data privacy regulator said the ecommerce giant had violated the blocs signature privacy law known as gdpr in an advertisingrelated decision. The fine was imposed on july and disclosed friday in a financial filing.,Corporate and Business Topics,[],"['amazon', 'amzn', 'face', 'recordbreaking', 'million', 'roughly', 'million', 'fine', 'european', 'union', 'data', 'privacy', 'regulator', 'said', 'ecommerce', 'giant', 'violated', 'bloc', 'signature', 'privacy', 'law', 'known', 'gdpr', 'advertisingrelated', 'decision', 'fine', 'imposed', 'july', 'disclosed', 'friday', 'financial', 'filing', 'largest', 'law', 'threeyear', 'history', 'followed', 'google', 'fine', 'million', 'regulator', 'said', 'amazon', 'processing', 'personal', 'data', 'didnt', 'comply', 'gdpr', 'requirement', 'company', 'acknowledged', 'ordered', 'change', 'business', 'practice', 'amazon', 'said', 'regulatory', 'decision', 'without', 'merit', 'added', 'plan', 'defend', 'vigorously', 'matter']"
 antimonopoly agency kppu ordered seven cooking oil companies on friday to pay fines of up to million for restricting sales amid scarce supplies last year. The seven companies include salim ivomas pratama simpjk a unit of indonesias largest food company indofood group.,Corporate and Business Topics ,['Indonesia'],"['indonesia', 'antimonopoly', 'agency', 'kppu', 'ordered', 'seven', 'cooking', 'oil', 'company', 'friday', 'pay', 'fine', 'million', 'restricting', 'sale', 'amid', 'scarce', 'supply', 'last', 'year', 'kppu', 'launched', 'investigation', 'conduct', 'cooking', 'oil', 'company', 'last', 'year', 'indonesian', 'government', 'placed', 'temporary', 'cap', 'surging', 'retail', 'price', 'essential', 'product', 'later', 'threeweek', 'export', 'ban', 'palm', 'oil', 'indonesia', 'world', 'biggest', 'producer', 'palm', 'oil', 'commonly', 'used', 'cooking', 'oil', 'seven', 'company', 'investigated', 'found', 'guilty', 'limiting', 'distribution', 'branded', 'cooking', 'oil', 'retail', 'price', 'cap', 'place', 'early', 'said', 'dinni', 'melanie', 'chaired', 'kppu', 'panel', 'seven', 'company', 'include', 'salim', 'ivomas', 'pratama', 'simpjk', 'unit', 'indonesia', 'largest', 'food', 'company', 'indofood', 'group', 'well', 'two', 'unit', 'wilmar', 'group']"
The us treasury in october imposed sanctions on key hamas group members operatives and financial facilitators in gaza and elsewhere including sudan trkiye algeria and qatar mr reimer said.,Corporate and Business Topics,"['Algeria', 'Israel', 'Qatar', 'Sudan']","['u', 'treasury', 'october', 'imposed', 'sanction', 'key', 'hamas', 'group', 'member', 'operative', 'financial', 'facilitator', 'gaza', 'elsewhere', 'including', 'sudan', 'trkiye', 'algeria', 'qatar', 'mr', 'reimer', 'said', 'u', 'sanction', 'financial', 'facilitator', 'multiple', 'country', 'pointed', 'vast', 'highly', 'sophisticated', 'network', 'however', 'scale', 'israel', 'campaign', 'aimed', 'destroying', 'militant', 'group', 'hamas', 'control', 'gaza', 'strip', 'main', 'source', 'financing', 'likely', 'greatly', 'diminished', 'conflict', 'said', 'hamas', 'longer', 'de', 'facto', 'authority', 'reduce', 'hamas', 'ability', 'generate', 'revenue', 'could', 'force', 'become', 'guerrillatype', 'organisation', 'said', 'mr', 'reimer']"
 australia was among a host of countries that imposed fresh sanctions on myanmar on february the third anniversary of the military coup the government added five businesses to its list of individuals sanctioned.,Corporate and Business Topics,"['Australia', 'Myanmar']","['australia', 'among', 'host', 'country', 'imposed', 'fresh', 'sanction', 'myanmar', 'february', 'third', 'anniversary', 'military', 'coup', 'government', 'added', 'five', 'business', 'list', 'individual', 'sanctioned', 'since', 'australia', 'targeted', 'two', 'bank', 'help', 'fund', 'myanmar', 'junta', 'arm', 'purchase', 'myanma', 'foreign', 'trade', 'bank', 'myanma', 'investment', 'commercial', 'bank', 'sanction', 'also', 'target', 'three', 'entity', 'asia', 'sun', 'group', 'asia', 'sun', 'trading', 'co', 'ltd', 'cargo', 'link', 'petroleum', 'logistics', 'co', 'ltd', 'role', 'supplying', 'jet', 'fuel', 'security', 'force', 'fuel', 'military', 'used', 'carry', 'unlawfully', 'indiscriminate', 'airstrikes', 'civilian']"
 civil society organisations at the world trade organization wto meeting in the united arab emirates this week have criticized restrictions on their participation. Some of their members had been briefly detained at the talks.,Corporate and Business Topics,[],"['civil', 'society', 'organisation', 'world', 'trade', 'organization', 'wto', 'meeting', 'united', 'arab', 'emirate', 'week', 'criticized', 'restriction', 'participation', 'including', 'alleging', 'member', 'briefly', 'detained', 'talk', 'world', 'sale', 'owinfs', 'network', 'civil', 'society', 'group', 'said', 'wednesday', 'complained', 'wto', 'directorgeneral', 'ngozi', 'okonjoiweala', 'several', 'incident', 'detainment', 'confiscation', 'material', 'heavyhanded', 'restriction', 'lobbying', 'civil', 'society', 'group', 'wto', 'statement', 'said', 'directorgeneral', 'met', 'civil', 'society', 'representative', 'tuesday', 'discus', 'concern', 'since', 'spoken', 'host', 'chair', 'talk', 'identify', 'solution']"
The us on monday mar imposed sanctions on a collection of fintech firms and people mostly in russia accused of enabling sanctions evasion. lawmakers and administration officials have voiced concerns that russia may be using cryptocurrency to avoid pain.,Corporate and Business Topics| Government Actions and Regulations ,['Ukraine'],"['u', 'monday', 'mar', 'imposed', 'sanction', 'collection', 'fintech', 'firm', 'people', 'mostly', 'russia', 'accused', 'enabling', 'sanction', 'evasion', 'treasury', 'office', 'foreign', 'asset', 'control', 'sanctioned', 'firm', 'five', 'owned', 'already', 'sanctioned', 'person', 'people', 'either', 'helped', 'build', 'operate', 'blockchainbased', 'service', 'enabled', 'virtual', 'currency', 'payment', 'russian', 'financial', 'sector', 'thus', 'enabling', 'potential', 'sanction', 'evasion', 'according', 'u', 'treasury', 'included', 'monday', 'sanction', 'group', 'moscowbased', 'fintech', 'company', 'russia', 'uaebased', 'virtual', 'currency', 'exchange', 'among', 'others', 'lawmaker', 'administration', 'official', 'voiced', 'concern', 'russia', 'may', 'using', 'cryptocurrency', 'avoid', 'pain', 'avalanche', 'sanction', 'imposed', 'bank', 'oligarch', 'energy', 'industry', 'response', 'russia', 'february', 'invasion', 'ukraine']"
Singapore and china on thursday dec announced the signing of an upgraded free trade agreement. The deal will give singapore businesses greater access to chinas markets. The agreements were unveiled at the th joint council for bilateral cooperation meeting.,Corporate and Business Topics| international relations and trade,"['China', 'Singapore']","['singapore', 'china', 'thursday', 'dec', 'announced', 'signing', 'upgraded', 'free', 'trade', 'agreement', 'give', 'singapore', 'business', 'greater', 'access', 'china', 'market', 'deal', 'one', 'agreement', 'memorandum', 'understanding', 'mous', 'signed', 'singapore', 'china', 'last', 'year', 'recent', 'year', 'cover', 'area', 'sustainability', 'education', 'trade', 'food', 'security', 'healthcare', 'agreement', 'unveiled', 'th', 'joint', 'council', 'bilateral', 'cooperation', 'jcbc', 'meeting', 'held', 'hilton', 'tianjin', 'ecocity', 'hotel', 'cochaired', 'singapore', 'deputy', 'prime', 'minister', 'lawrence', 'wong', 'chinese', 'vice', 'premier', 'ding', 'xuexiang']"
The economic cooperation between both countries has been on an upward trend. Several singapore companies are already operating in kenya in a variety of sectors from shipping to agribusiness.,Corporate and Business Topics| international relations and trade,"['Kenya', 'Singapore']","['briefing', 'held', 'state', 'house', 'kenya', 'presidential', 'residence', 'nairobi', 'mr', 'lee', 'noted', 'economic', 'cooperation', 'country', 'upward', 'trend', 'kenya', 'one', 'singapore', 'important', 'trading', 'partner', 'subsaharan', 'africa', 'despite', 'covid', 'bilateral', 'trade', 'increased', 'almost', 'quarter', 'yearonyear', 'added', 'mr', 'lee', 'added', 'several', 'singapore', 'company', 'already', 'operating', 'kenya', 'variety', 'sector', 'shipping', 'agribusiness', 'delegation', 'singapore', 'company', 'also', 'accompanied', 'mr', 'lee', 'government', 'official', 'kenya', 'intention', 'pursue', 'opportunity', 'investment', 'partnership', 'kenyan', 'company']"
Nearshoring or friendshoring nearshoring means to locate production close to ones consumers in Mexico. for years the united states top trading partner has been china that has now changed mexico is in top spot as of last year.,Corporate and Business Topics| international relations and trade,"['China', 'Mexico']","['year', 'united', 'state', 'top', 'trading', 'partner', 'china', 'changed', 'mexico', 'top', 'spot', 'last', 'year', 'culmination', 'trend', 'began', 'trump', 'presidency', 'tariff', 'slapped', 'chinese', 'export', 'u', 'also', 'example', 'top', 'trend', 'derisking', 'amidst', 'geopolitical', 'tension', 'nearshoring', 'friendshoring', 'nearshoring', 'mean', 'locate', 'production', 'close', 'one', 'consumer', 'friendshoring', 'policy', 'locating', 'production', 'friendly', 'country', 'mexico', 'result', 'manufacturing', 'boom', 'one', 'company', 'grown', 'example', 'original', 'equipment', 'manufacturer', 'creation', 'technology', 'whose', 'customer', 'include', 'fortune', 'company']"
European Commission announces preliminary charges against amazon. Announcement is preliminary and just one part of the regulatory process. It can take many months or even years before a fine and other penalties are announced.,Corporate and business topics| political topics and protests,[],"['many', 'europe', 'watching', 'see', 'amazon', 'announcement', 'received', 'incoming', 'administration', 'presidentelect', 'joseph', 'r', 'biden', 'jr', 'expected', 'pursue', 'policy', 'limit', 'industry', 'power', 'trump', 'administration', 'criticized', 'm', 'vestager', 'aiming', 'american', 'company', 'like', 'apple', 'even', 'initiated', 'investigation', 'industry', 'amazon', 'case', 'announcement', 'tuesday', 'preliminary', 'one', 'part', 'regulatory', 'process', 'amazon', 'chance', 'respond', 'charge', 'take', 'many', 'month', 'even', 'year', 'fine', 'penalty', 'announced', 'commission', 'also', 'could', 'reach', 'settlement', 'amazon', 'case', 'could', 'dropped']"
 apples iphone sales in china fell per cent yearonyear in the first six weeks of according to research firm counterpoint. The us company faced increased competition from domestic rivals such as huawei.,corporate and business topics| technology and digital trends,['China'],"['apple', 'iphone', 'sale', 'china', 'fell', 'per', 'cent', 'yearonyear', 'first', 'six', 'week', 'according', 'research', 'firm', 'counterpoint', 'u', 'company', 'faced', 'increased', 'competition', 'domestic', 'rival', 'huawei', 'u', 'tech', 'giant', 'chief', 'competitor', 'china', 'premium', 'smartphones', 'huawei', 'saw', 'unit', 'sale', 'rise', 'per', 'cent', 'period', 'according', 'report', 'could', 'fan', 'fear', 'slowdown', 'demand', 'u', 'company', 'whose', 'revenue', 'forecast', 'current', 'quarter', 'u', 'billion', 'wall', 'street', 'expectation', 'share', 'iphone', 'maker', 'per', 'cent', 'premarket', 'trading', 'tuesday', 'lost', 'per', 'cent', 'value', 'far', 'year', 'underperforming', 'big', 'tech', 'peer', 'united', 'state']"
Communications blackout across much of the country in recent weeks in darfur. Some areas havent received any aid since the sudanese military and the rapid support forces rsf a paramilitary went to war almost a year ago.,Disaster and Crisis Management,['Sudan'],"['sudan', 'capital', 'hundred', 'thousand', 'people', 'face', 'daily', 'struggle', 'find', 'food', 'communal', 'kitchen', 'depend', 'threatened', 'dwindling', 'supply', 'communication', 'blackout', 'across', 'much', 'country', 'recent', 'week', 'darfur', 'area', 'havent', 'received', 'aid', 'since', 'sudanese', 'military', 'rapid', 'support', 'force', 'rsf', 'paramilitary', 'went', 'war', 'almost', 'year', 'ago', 'aid', 'agency', 'say', 'unable', 'deliver', 'food', 'many', 'area', 'wartorn', 'country', 'warning', 'hunger', 'set', 'worsen', 'sudan', 'apriljuly', 'lean', 'season', 'approach', 'time', 'year', 'food', 'availability', 'low', 'farmer', 'planting']"
The two singaporeans missing after taiwans magnitude earthquake on wednesday were last seen at a bus station in hualien preparing to board a shuttle bus heading to taroko national park. The missing pair are a married couple.,Disaster and Crisis Management,['Singapore'],"['two', 'singaporean', 'missing', 'taiwan', 'magnitude', 'earthquake', 'wednesday', 'last', 'seen', 'bus', 'station', 'hualien', 'preparing', 'board', 'shuttle', 'bus', 'heading', 'taroko', 'national', 'park', 'taiwan', 'immigration', 'agency', 'said', 'missing', 'pair', 'married', 'couple', 'identified', 'sim', 'hwee', 'kok', 'neo', 'siew', 'choo', 'according', 'facebook', 'group', 'named', 'hualien', 'earthquake', 'relief', 'information', 'cctv', 'footage', 'provided', 'taiwan', 'foreign', 'affair', 'police', 'service', 'saturday', 'apr', 'showed', 'couple', 'standing', 'line', 'bus', 'station', 'hualien', 'city', 'wednesday', 'two', 'hour', 'quake', 'struck']"
 junior college student shannon chong was in class at pm two minutes before the end of a mathematics tutorial when she received a call from her mother. It ended up being the kind of call no one would ever want to receive shannons older sister had been killed in a road accident.,Disaster and Crisis Management,[],"['monday', 'apr', 'jurong', 'pioneer', 'junior', 'college', 'student', 'shannon', 'chong', 'class', 'pm', 'two', 'minute', 'end', 'mathematics', 'tutorial', 'received', 'call', 'mother', 'unusual', 'mother', 'housewife', 'call', 'school', 'hour', 'since', 'shannon', 'j', 'student', 'still', 'class', 'called', 'back', 'tutorial', 'ended', 'minute', 'later', 'ended', 'kind', 'call', 'one', 'would', 'ever', 'want', 'receive', 'shannon', 'older', 'sister', 'killed', 'road', 'accident', 'new', 'zealand', 'mother', 'relayed', 'news', 'phone', 'disbelief', 'suspecting', 'could', 'scam']"
The department of education said it was the largest fine ever imposed for violating the clery act. liberty university also agreed to spend an additional million to improve oncampus safety over the next two years.,Education and Learning ,['Oman'],"['department', 'education', 'imposed', 'record', 'million', 'fine', 'liberty', 'university', 'christian', 'college', 'located', 'virginia', 'violation', 'campus', 'safety', 'law', 'official', 'said', 'tuesday', 'department', 'education', 'said', 'largest', 'fine', 'ever', 'imposed', 'violating', 'clery', 'act', 'requires', 'college', 'maintain', 'disclose', 'campus', 'crime', 'statistic', 'security', 'information', 'liberty', 'university', 'also', 'agreed', 'spend', 'additional', 'million', 'improve', 'oncampus', 'safety', 'next', 'two', 'year', 'department', 'education', 'initiated', 'review', 'receiving', 'complaint', 'alleged', 'college', 'committed', 'violation', 'clery', 'act', 'review', 'also', 'followed', 'lawsuit', 'woman', 'claimed', 'school', 'created', 'environment', 'increased', 'likelihood', 'sexual', 'assault', 'rape', 'case', 'settled']"
When song uiyoungs first arrived in singapore as a freshfaced teenager a little over seven years ago the sum of song's english vocabulary totalled just two words. He only knew yes or no said the south korean footballer but the yearold yeouido high school student was nonetheless determined to at least do his talking.,Education and Learning,['Singapore'],"['first', 'arrived', 'singapore', 'freshfaced', 'teenager', 'little', 'seven', 'year', 'ago', 'sum', 'song', 'uiyoungs', 'english', 'vocabulary', 'totalled', 'two', 'word', 'couldnt', 'speak', 'english', 'knew', 'yes', 'said', 'south', 'korean', 'footballer', 'yearold', 'yeouido', 'high', 'school', 'student', 'nonetheless', 'determined', 'least', 'talking', 'pitch', 'coach', 'korea', 'knew', 'home', 'united', 'coach', 'lee', 'lim', 'saeng', 'recommended', 'coach', 'lee', 'came', 'watch', 'game', 'liked', 'said', 'song', 'talked', 'asked', 'play', 'reserve', 'prime', 'league', 'first', 'thought', 'could', 'adjust', 'singapore', 'maybe', 'could', 'step', 'chance', 'play', 'sleague', 'singapore', 'premier', 'league']"
 classrooms at all its centres will be deep cleaned and sanitised this weekend by professional cleaners approved by the national environment agency. the learning lab has eight outlets across singapore according to its website.,Education and Learning,['Singapore'],"['learning', 'lab', 'eight', 'outlet', 'across', 'singapore', 'according', 'website', 'addition', 'united', 'square', 'outlet', 'located', 'marine', 'parade', 'central', 'tampines', 'mall', 'century', 'square', 'seletar', 'mall', 'rochester', 'mall', 'jem', 'choa', 'chu', 'kang', 'centre', 'classroom', 'centre', 'deep', 'cleaned', 'sanitised', 'weekend', 'professional', 'cleaner', 'approved', 'national', 'environment', 'agency', 'said', 'learning', 'lab', 'learning', 'lab', 'said', 'remains', 'contact', 'moh', 'cooperating', 'authority', 'assist', 'contact', 'tracing', 'learning', 'lab', 'said', 'implemented', 'strict', 'safety', 'measure', 'since', 'outbreak', 'pandemic', 'including', 'thorough', 'cleaning', 'sanitation', 'classroom', 'facility', 'ensuring', 'staff', 'member', 'student', 'keep', 'mask', 'well', 'staggered', 'class', 'dismissal', 'timing', 'prevent', 'intermingling', 'group']"
It is becoming more common to have two or more different careers across adult working age what may be noncareer related in the present could be a very viable proposition in the future. Whether the knowledge gained from a course is useful ultimately depends on the individual.,Education and Learning,"['Oman', 'Singapore']","['becoming', 'common', 'two', 'different', 'career', 'across', 'adult', 'working', 'age', 'may', 'noncareer', 'related', 'present', 'could', 'viable', 'proposition', 'future', 'said', 'assoc', 'prof', 'yu', 'whether', 'knowledge', 'gained', 'course', 'useful', 'ultimately', 'depends', 'individual', 'said', 'assistant', 'professor', 'aaron', 'ng', 'singapore', 'institute', 'technology', 'sit', 'lecturer', 'digital', 'communication', 'integrated', 'medium', 'added', 'individual', 'think', 'deeply', 'trajectory', 'career', 'life', 'make', 'effective', 'use', 'skillsfuture', 'credit', 'government', 'help', 'lowering', 'barrier', 'gaining', 'knowledge', 'dont', 'think', 'government', 'micromanaging', 'individual', 'future']"
University of pennsylvania psychology professor michael kahana said he had never felt the need to wear a yarmulke or jewish skullcap to his classes. until three months ago.,Education and Learning,['Israel'],"['three', 'month', 'ago', 'university', 'pennsylvania', 'psychology', 'professor', 'michael', 'kahana', 'said', 'never', 'felt', 'need', 'wear', 'yarmulke', 'jewish', 'skullcap', 'class', 'started', 'oct', 'feel', 'dont', 'wear', 'yarmulke', 'student', 'might', 'feel', 'said', 'kahana', 'one', 'organiser', 'penn', 'faculty', 'solidarity', 'mission', 'israel', 'week', 'aim', 'mainly', 'build', 'bridge', 'israeli', 'academic', 'community', 'faculty', 'met', 'penn', 'alumnus', 'political', 'hospital', 'leader', 'hostage', 'family', 'toured', 'site', 'israel', 'palestinian', 'hamas', 'fighter', 'attacked', 'oct']"
Venezuela used to produce more than million barrels of oil daily two decades ago. corruption and a drop in oil prices destroyed the sector and the countrys economy. The united states seeks other sources of fuel amid a global energy crunch.,Energy and Resources,['Ukraine'],"['key', 'player', 'reentered', 'world', 'energy', 'market', 'united', 'state', 'seek', 'source', 'fuel', 'amid', 'global', 'energy', 'crunch', 'venezuela', 'used', 'produce', 'million', 'barrel', 'oil', 'daily', 'two', 'decade', 'ago', 'corruption', 'drop', 'oil', 'price', 'destroyed', 'sector', 'country', 'economy', 'former', 'u', 'president', 'donald', 'trump', 'imposed', 'sanction', 'venezuelan', 'president', 'nicolas', 'maduro', 'russia', 'invasion', 'ukraine', 'since', 'shifted', 'political', 'priority', 'u', 'pushed', 'reconsider', 'tie', 'oil', 'producer', 'like', 'venezuela', 'saudi', 'arabia', 'mitigate', 'dependence', 'russian', 'energy']"
